lat,lon,distance,laser1,laser2,laser3,laser4,laser5,laser6
52.3994,4.6843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.3994,4.6843,-0.0,1,1,0,1,0,0
52.3994,4.6843,-0.0,1,1,0,1,0,0
52.3994,4.6843,-0.0,1,1,0,1,1,0
52.3994,4.6843,-0.0,1,1,0,1,0,0
52.3994,4.6843,-0.0,1,1,0,1,1,0
52.3994,4.6843,-0.0,1,1,0,1,0,0
52.3994,4.6843,-0.0,1,1,0,0,0,0
52.3994,4.6843,-0.0,1,1,0,1,0,0
52.3994,4.6843,-0.0,1,1,0,0,0,0
52.3994,4.6843,-0.0,1,1,0,1,0,0
52.3994,4.6843,-0.0,1,1,0,0,0,0
52.3994,4.6843,-0.0,1,1,0,1,0,0
52.3994,4.6843,-0.0,1,1,0,0,0,0
52.3994,4.6843,-0.0,1,1,0,1,0,0
52.3994,4.6843,-0.0,1,1,0,0,0,0
52.3994,4.6843,-0.0,1,1,0,1,0,0
52.3994,4.6843,-0.0,1,1,0,0,0,0
52.3994,4.6843,-0.0,1,1,0,1,0,0
52.3994,4.6843,-0.0,1,1,1,1,0,0
52.3994,4.6843,-0.0,1,1,1,0,0,0
52.3994,4.6843,-0.0,1,1,0,0,0,0
52.3994,4.6843,-0.0,1,1,0,1,0,0
52.3994,4.6843,-0.0,1,1,0,0,0,0
52.3994,4.6843,-0.0,1,1,0,1,0,0
52.3994,4.6843,-0.0,1,1,0,0,0,0
52.3994,4.6843,-0.0,1,1,1,0,0,0
52.3994,4.6843,-0.0,1,1,0,0,0,0
52.3994,4.6843,-0.0,1,1,0,1,0,0
52.3994,4.6843,-0.0,1,1,0,0,0,0
52.3994,4.6843,0.0,1,1,0,1,0,0
52.3994,4.6843,0.003,1,1,0,0,0,0
52.3994,4.6843,0.008,1,1,1,0,0,0
52.3994,4.6843,0.019,1,1,0,0,0,0
52.3994,4.6843,0.021,1,1,0,1,0,0
52.3994,4.6843,0.022,1,1,1,1,0,0
52.3994,4.6843,0.024,1,1,1,1,1,0
52.3994,4.6843,0.026,1,1,1,1,0,0
52.3994,4.6843,0.03,1,1,0,1,0,0
52.3994,4.6843,0.032,1,1,0,0,0,0
52.3994,4.6843,0.033,1,1,1,0,0,0
52.3994,4.6843,0.036,1,1,1,1,0,0
52.3994,4.6843,0.038,1,1,1,1,1,0
52.3994,4.6843,0.04,1,1,1,1,0,0
52.3994,4.6843,0.053,1,1,1,0,0,0
52.3994,4.6843,0.055,1,1,0,0,0,0
52.3994,4.6843,0.058,1,1,1,0,0,0
52.3994,4.6843,0.066,1,1,0,0,0,0
52.3994,4.6843,0.075,1,1,1,0,0,0
52.3994,4.6843,0.095,1,1,0,0,0,0
52.3994,4.6843,0.099,1,1,1,0,0,0
52.3994,4.6843,0.108,1,1,0,0,0,0
52.3994,4.6843,0.114,1,1,1,0,0,0
52.3994,4.6843,0.116,1,1,0,0,0,0
52.3994,4.6843,0.12,1,1,1,0,0,0
52.3994,4.6843,0.123,1,1,0,0,0,0
52.3994,4.6843,0.125,1,1,1,0,0,0
52.3994,4.6843,0.132,1,1,0,0,0,0
52.3994,4.6843,0.136,1,1,1,0,0,0
52.3994,4.6843,0.139,1,1,0,0,0,0
52.3994,4.6843,0.142,1,1,1,0,0,0
52.3994,4.6843,0.144,1,1,0,0,0,0
52.3994,4.6843,0.146,1,1,1,0,0,0
52.3994,4.6843,0.156,1,1,0,0,0,0
52.3994,4.6843,0.172,1,1,1,0,0,0
52.3994,4.6843,0.174,1,1,0,0,0,0
52.3994,4.6843,0.176,1,1,1,0,0,0
52.3994,4.6843,0.178,1,1,0,0,0,0
52.3994,4.6843,0.23,1,0,0,0,0,0
52.3994,4.6843,0.235,1,1,0,0,0,0
52.3994,4.6843,0.24,1,1,1,0,0,0
52.3994,4.6843,0.246,1,1,0,0,0,0
52.3994,4.6843,0.283,1,1,0,1,0,0
52.3994,4.6843,0.283,1,1,0,0,0,0
52.3994,4.6843,0.342,1,1,1,0,0,0
52.3994,4.6843,0.345,1,1,0,0,0,0
52.3994,4.6843,0.369,1,1,1,0,0,0
52.3994,4.6843,0.379,1,1,0,0,0,0
52.3994,4.6843,0.384,1,1,1,0,0,0
52.3994,4.6843,0.389,1,1,0,0,0,0
52.3994,4.6843,0.401,1,1,1,0,0,0
52.3994,4.6843,0.407,1,1,0,0,0,0
52.3994,4.6843,0.413,1,1,1,0,0,0
52.3994,4.6843,0.417,1,1,0,0,0,0
52.3994,4.6843,0.42,1,1,1,0,0,0
52.3994,4.6843,0.467,1,1,0,0,0,0
52.3994,4.6843,0.471,1,1,1,0,0,0
52.3994,4.6843,0.476,1,1,0,0,0,0
52.3994,4.6843,0.477,1,1,1,0,0,0
52.3994,4.6843,0.48,1,1,0,0,0,0
52.3994,4.6843,0.485,1,1,1,0,0,0
52.3994,4.6843,0.502,1,1,0,0,0,0
52.3994,4.6843,0.506,1,1,1,0,0,0
52.3994,4.6843,0.511,1,1,0,0,0,0
52.3994,4.6843,0.544,1,1,1,0,0,0
52.3994,4.6843,0.545,1,1,0,0,0,0
52.3994,4.6843,0.572,1,1,1,0,0,0
52.3994,4.6843,0.582,1,1,0,0,0,0
52.3994,4.6843,0.592,1,1,1,0,0,0
52.3994,4.6843,0.594,1,1,0,0,0,0
52.3994,4.6843,0.612,1,1,1,0,0,0
52.3994,4.6843,0.615,1,1,0,0,0,0
