lat,lon,distance,laser1,laser2,laser3,laser4,laser5,laser6
0.0,0.0,0.0,0,0,0,0,0,0
51.5386,5.1738,0.299,1,0,0,0,0,0
51.5386,5.1738,0.306,0,0,0,0,0,0
51.5386,5.1738,0.315,1,0,0,0,0,0
51.5386,5.1738,0.329,0,0,0,0,0,0
51.5386,5.1738,0.333,1,1,0,0,0,0
51.5386,5.1738,0.337,1,0,0,0,0,0
51.5386,5.1738,0.34,0,0,0,0,0,0
51.5386,5.1738,0.34,0,1,0,0,0,0
51.5386,5.1738,0.356,0,0,0,0,0,0
51.5386,5.1738,0.368,0,0,1,0,0,0
51.5386,5.1738,0.371,0,1,1,0,0,0
51.5386,5.1738,0.383,0,1,0,0,0,0
51.5386,5.1738,0.388,0,1,1,0,0,0
51.5386,5.1738,0.39,0,0,1,0,0,0
51.5386,5.1738,0.404,0,0,0,0,0,0
51.5386,5.1738,0.412,0,0,0,1,0,0
51.5386,5.1738,0.417,0,0,1,1,0,0
51.5386,5.1738,0.423,0,0,1,0,0,0
51.5386,5.1738,0.431,0,0,1,1,0,0
51.5386,5.1738,0.432,0,0,0,1,0,0
51.5386,5.1738,0.444,0,0,0,0,0,0
51.5386,5.1738,0.451,0,0,1,0,0,0
51.5386,5.1738,0.452,0,0,1,1,0,0
51.5386,5.1738,0.458,0,0,1,1,1,0
51.5386,5.1738,0.461,0,0,0,1,1,0
51.5386,5.1738,0.464,0,0,0,0,1,0
51.5386,5.1738,0.471,0,0,0,0,0,0
51.5386,5.1738,0.488,0,0,0,0,1,0
51.5386,5.1738,0.492,0,0,0,1,1,0
51.5386,5.1738,0.506,0,0,0,1,0,0
51.5386,5.1738,0.515,0,0,0,0,0,0
51.5386,5.1738,0.537,0,0,0,1,0,0
51.5386,5.1738,0.539,0,0,0,1,0,1
51.5386,5.1738,0.55,0,0,0,1,0,0
51.5386,5.1738,0.558,0,0,0,1,1,0
51.5386,5.1738,0.571,0,0,0,0,1,0
51.5386,5.1738,0.591,0,0,0,0,0,0
51.5386,5.1738,0.593,0,0,1,0,0,0
51.5386,5.1738,0.602,0,0,1,1,0,0
51.5386,5.1738,0.619,0,0,0,1,0,0
51.5386,5.1738,0.62,0,0,0,1,1,0
51.5386,5.1738,0.626,0,0,0,0,1,0
51.5386,5.1738,0.632,0,0,0,0,0,0
51.5386,5.1738,0.637,0,0,0,1,0,0
51.5386,5.1738,0.639,0,1,0,1,0,0
51.5386,5.1738,0.639,0,1,1,1,0,0
51.5386,5.1738,0.654,0,1,1,0,0,0
51.5386,5.1738,0.658,0,1,0,0,0,0
51.5386,5.1738,0.66,0,0,0,0,0,0
51.5386,5.1738,0.671,0,0,1,0,0,0
51.5386,5.1738,0.677,0,1,1,0,0,0
51.5386,5.1738,0.686,1,1,1,0,0,0
51.5386,5.1738,0.691,1,1,0,0,0,0
51.5386,5.1738,0.697,1,0,0,0,0,0
51.5386,5.1738,0.7,0,0,0,0,0,0
51.5386,5.1738,0.708,0,1,0,0,0,0
51.5386,5.1738,0.71,0,1,1,0,0,0
51.5386,5.1738,0.713,0,1,0,0,0,0
51.5386,5.1738,0.715,1,1,0,0,0,0
51.5386,5.1738,0.726,1,0,0,0,0,0
51.5386,5.1738,0.73,0,0,0,0,0,0
51.5386,5.1738,0.736,0,1,0,0,0,0
51.5386,5.1738,0.74,1,1,0,0,0,0
51.5386,5.1738,0.742,1,0,0,0,0,0
51.5386,5.1738,0.753,0,0,0,0,0,0
51.5386,5.1738,0.763,1,0,0,0,0,0
51.5386,5.1738,0.768,0,0,0,0,0,0
51.5386,5.1738,0.849,1,0,0,0,0,0
51.5386,5.1738,0.858,0,0,0,0,0,0
51.5386,5.1738,0.862,1,0,0,0,0,0
51.5386,5.1738,0.872,0,0,0,0,0,0
51.5386,5.1738,0.875,0,1,0,0,0,0
51.5386,5.1738,0.877,1,1,0,0,0,0
51.5386,5.1738,0.886,1,0,0,0,0,0
51.5386,5.1738,0.888,1,1,0,0,0,0
51.5386,5.1738,0.889,0,1,0,0,0,0
51.5386,5.1738,0.898,1,1,0,0,0,0
51.5386,5.1738,0.903,1,0,0,0,0,0
51.5386,5.1738,0.905,1,0,1,0,0,0
51.5386,5.1738,0.911,1,1,1,0,0,0
51.5386,5.1738,0.914,0,1,1,0,0,0
51.5386,5.1738,0.92,0,1,0,0,0,0
51.5386,5.1738,0.93,0,1,1,0,0,0
51.5386,5.1738,0.934,0,0,1,0,0,0
51.5386,5.1738,0.942,0,1,1,0,0,0
